id	pid	page_start	page_end	snippet	core
beps-a14-peer-review-documents-oecd-en-p016	p016	16	16	 15 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 mandatory or not. Elements B.5 and B	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-05.txt
beps-a14-peer-review-documents-oecd-en-p017	p017	17	17	16  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 1.A. Mandate for the developme	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-05.txt
beps-a14-peer-review-documents-oecd-en-p018	p018	18	18	 17 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 committed jurisdictions by the FTA M	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-05.txt
beps-a14-peer-review-documents-oecd-en-p019	p019	19	19	18  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Introduction 1. The Action 14 BEPS R	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-06.txt
beps-a14-peer-review-documents-oecd-en-p020	p020	20	20	 19 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 that the review of non -members be b	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-06.txt
beps-a14-peer-review-documents-oecd-en-p021	p021	21	21	20  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Obtaining inputs from the assessed j	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-07.txt
beps-a14-peer-review-documents-oecd-en-p022	p022	22	22	 21 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 their experience on the MAP process.	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-08.txt
beps-a14-peer-review-documents-oecd-en-p023	p023	23	23	22  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Approval of the Stage 1 Peer Review 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-09.txt
beps-a14-peer-review-documents-oecd-en-p024	p024	24	24	 23 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 possible (for example, where the ass	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-09.txt
beps-a14-peer-review-documents-oecd-en-p025	p025	25	25	24  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 33. Where there are no comments from	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-10.txt
beps-a14-peer-review-documents-oecd-en-p026	p026	26	26	 25 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 review reports with the aim of ensur	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-10.txt
beps-a14-peer-review-documents-oecd-en-p027	p027	27	27	26  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 under Section II (and referred to in	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-11.txt
beps-a14-peer-review-documents-oecd-en-p028	p028	28	28	 27 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 framework in practice (“Stage 1 Peer	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-12.txt
beps-a14-peer-review-documents-oecd-en-p029	p029	29	29	28  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 58. In the event that the Action 14 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-12.txt
beps-a14-peer-review-documents-oecd-en-p030	p030	30	30	 29 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 65. The FTA MAP Forum shall ensure t	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p031	p031	31	31	30  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 1 Available at www.oecd.org/tax/beps	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p032	p032	32	32	 31 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.A. Summary of Stage 1 Peer R	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p033	p033	33	33	32  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Figure 3. Adoption of FTA MAP Forum 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p034	p034	34	34	 33 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.B. Summary of Stage 2 Peer M	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-13.txt
beps-a14-peer-review-documents-oecd-en-p035	p035	35	35	34  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.C. Model assessment schedule	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p036	p036	36	36	 35 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Figure 7. Stage 2 Peer Monitoring So	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p037	p037	37	37	36  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.D. Outline of Stage 1 Peer R	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p038	p038	38	38	 37 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Compliance with the minimum standard	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p039	p039	39	39	38  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.E. Summary of peer input col	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p040	p040	40	40	 39 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.F. Summary of simplified pee	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-14.txt
beps-a14-peer-review-documents-oecd-en-p041	p041	41	41	40  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Figure 12. Adoption of Stage 1 Peer 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p042	p042	42	42	 41 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.G. Summary of the full peer 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p043	p043	43	43	42  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Figure 17. Adoption of Peer Review R	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p044	p044	44	44	 43 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.H. Model assessment schedule	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p045	p045	45	45	44  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Figure 19. Simplified peer review pr	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p046	p046	46	46	 45 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.I. Model assessment schedule	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p047	p047	47	47	46  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 2.J. Outline of Stage 1 simpli	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-15.txt
beps-a14-peer-review-documents-oecd-en-p048	p048	48	48	 47 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023  List of information and documentat	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-16.txt
beps-a14-peer-review-documents-oecd-en-p049	p049	49	49	48  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Introduction 1. The Report on Action	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-16.txt
beps-a14-peer-review-documents-oecd-en-p050	p050	50	50	 49 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 MAP process 5. Article 25 of the OEC	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-17.txt
beps-a14-peer-review-documents-oecd-en-p051	p051	51	51	50  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 9. The MAP process to the extent it 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-17.txt
beps-a14-peer-review-documents-oecd-en-p052	p052	52	52	 51 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 12. Recognising that the taxpayer’s 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-18.txt
beps-a14-peer-review-documents-oecd-en-p053	p053	53	53	52  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (iii) Milestone 1 (if applicable): D	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-18.txt
beps-a14-peer-review-documents-oecd-en-p054	p054	54	54	 53 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (i) Break down of the average time t	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-19.txt
beps-a14-peer-review-documents-oecd-en-p055	p055	55	55	54  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 References OECD (2019), Model Tax Co	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-19.txt
beps-a14-peer-review-documents-oecd-en-p056	p056	56	56	 55 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 3.A. MAP Statistics reporting 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-19.txt
beps-a14-peer-review-documents-oecd-en-p057	p057	57	57	56  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Notes on Annex 3.A. (see also Annex 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-20.txt
beps-a14-peer-review-documents-oecd-en-p058	p058	58	58	 57 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 3.B. MAP Statistics reporting 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-20.txt
beps-a14-peer-review-documents-oecd-en-p059	p059	59	59	58  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Treaty Partner 2 … Row 2 Treaty Part	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-20.txt
beps-a14-peer-review-documents-oecd-en-p060	p060	60	60	 59 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Row 3 Treaty Partners (Others) Total	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-20.txt
beps-a14-peer-review-documents-oecd-en-p061	p061	61	61	60  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Notes on Part (I) of Annex 3.B. (see	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-21.txt
beps-a14-peer-review-documents-oecd-en-p062	p062	62	62	 61 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (ix) Column 14 of Table 1 and Table 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-21.txt
beps-a14-peer-review-documents-oecd-en-p063	p063	63	63	62  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (II) MAP Statistics for purposes of 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-21.txt
beps-a14-peer-review-documents-oecd-en-p064	p064	64	64	 63 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Table 2: Other MAP Cases Treaty Part	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p065	p065	65	65	64  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Table 3: All MAP Cases average time 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p066	p066	66	66	 65 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Notes on Part (II) of Annex 3.B. (se	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p067	p067	67	67	66  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (xx) Row 1 of Annex to Table 2: Case	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p068	p068	68	68	 67 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 3.C. Definition of terms and r	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-23.txt
beps-a14-peer-review-documents-oecd-en-p069	p069	69	69	68  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 paragraphs 13 and 14 of this note) f	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-23.txt
beps-a14-peer-review-documents-oecd-en-p070	p070	70	70	 69 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 such an outcome is arrived at follow	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-24.txt
beps-a14-peer-review-documents-oecd-en-p071	p071	71	71	70  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 withdrawn during the reporting perio	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-24.txt
beps-a14-peer-review-documents-oecd-en-p072	p072	72	72	 71 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 3.D. –Definition of terms and 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-24.txt
beps-a14-peer-review-documents-oecd-en-p073	p073	73	73	72  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 is subject to domestic rules on fisc	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-25.txt
beps-a14-peer-review-documents-oecd-en-p074	p074	74	74	 73 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 A MAP case shall be counted as a cas	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-25.txt
beps-a14-peer-review-documents-oecd-en-p075	p075	75	75	74  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 This includes cases where such an ou	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-26.txt
beps-a14-peer-review-documents-oecd-en-p076	p076	76	76	 75 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (e) Number of post-2015 cases remain	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-26.txt
beps-a14-peer-review-documents-oecd-en-p077	p077	77	77	76  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 “date of Milestone 1” and where the 	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-peer-review-documents-oecd-en-p078	p078	78	78	 77 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Notes 1 EU Member States are free to	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-peer-review-documents-oecd-en-p079	p079	79	79	78  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Introduction 1. The Report on Action	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-peer-review-documents-oecd-en-p080	p080	80	80	 79 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (ii) The manner and form in which th	text/oecd-beps/beps-a14-peer-review-documents-oecd-en-pack-28.txt
